title,date,url,stock
【公告】榮星112年股東常會重要決議事項,2023/6/12,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%A6%AE%E6%98%9F112%E5%B9%B4%E8%82%A1%E6%9D%B1%E5%B8%B8%E6%9C%83%E9%87%8D%E8%A6%81%E6%B1%BA%E8%AD%B0%E4%BA%8B%E9%A0%85-063235759.html,1617
【公告】榮星 2023年4月合併營收2.14億元 年增-40.6%,2023/5/10,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%A6%AE%E6%98%9F-2023%E5%B9%B44%E6%9C%88%E5%90%88%E4%BD%B5%E7%87%9F%E6%94%B62-14%E5%84%84%E5%85%83-%E5%B9%B4%E5%A2%9E-073225469.html,1617
【公告】榮星 2023年3月合併營收2.71億元 年增-31.6%,更新時間：,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E6%A6%AE%E6%98%9F-2023%E5%B9%B43%E6%9C%88%E5%90%88%E4%BD%B5%E7%87%9F%E6%94%B62-71%E5%84%84%E5%85%83-%E5%B9%B4%E5%A2%9E-081149294.html,1617
財報難產 證交所公告廷鑫、昶虹4/8起停止買賣,2024/4/2,https://tw.stock.yahoo.com/news/%E8%B2%A1%E5%A0%B1%E9%9B%A3%E7%94%A2-%E8%AD%89%E4%BA%A4%E6%89%80%E5%85%AC%E5%91%8A%E5%BB%B7%E9%91%AB-%E6%98%B6%E8%99%B94-8%E8%B5%B7%E5%81%9C%E6%AD%A2%E8%B2%B7%E8%B3%A3-141215429.html,2358
投資人注意！證交所公告：廷鑫、昶虹暫停交易,更新時間：,https://tw.stock.yahoo.com/news/%E6%8A%95%E8%B3%87%E4%BA%BA%E6%B3%A8%E6%84%8F%EF%BC%81%E8%AD%89%E4%BA%A4%E6%89%80%E5%85%AC%E5%91%8A%EF%BC%9A%E5%BB%B7%E9%91%AB%E3%80%81%E6%98%B6%E8%99%B9%E6%9A%AB%E5%81%9C%E4%BA%A4%E6%98%93-120015872.html,2358
【公告】廷鑫接獲證交所通知股票停止買賣暨日期,2024/4/2,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%BB%B7%E9%91%AB%E6%8E%A5%E7%8D%B2%E8%AD%89%E4%BA%A4%E6%89%80%E9%80%9A%E7%9F%A5%E8%82%A1%E7%A5%A8%E5%81%9C%E6%AD%A2%E8%B2%B7%E8%B3%A3%E6%9A%A8%E6%97%A5%E6%9C%9F-114414499.html,2358
廷鑫、昶虹 未如期申報去年度財報,2024/4/1,https://tw.stock.yahoo.com/news/%E5%BB%B7%E9%91%AB-%E6%98%B6%E8%99%B9-%E6%9C%AA%E5%A6%82%E6%9C%9F%E7%94%B3%E5%A0%B1%E5%8E%BB%E5%B9%B4%E5%BA%A6%E8%B2%A1%E5%A0%B1-105446692.html,2358
股票恐淪壁紙又一家？廷鑫找不到會計師無法出具財報,更新時間：,https://tw.stock.yahoo.com/news/%E8%82%A1%E7%A5%A8%E6%81%90%E6%B7%AA%E5%A3%81%E7%B4%99%E5%8F%88%E4%B8%80%E5%AE%B6%EF%BC%9F%E5%BB%B7%E9%91%AB%E6%89%BE%E4%B8%8D%E5%88%B0%E6%9C%83%E8%A8%88%E5%B8%AB%E7%84%A1%E6%B3%95%E5%87%BA%E5%85%B7%E8%B2%A1%E5%A0%B1-092919272.html,2358
【公告】廷鑫無法如期申報112年度財務報告,2024/4/1,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%BB%B7%E9%91%AB%E7%84%A1%E6%B3%95%E5%A6%82%E6%9C%9F%E7%94%B3%E5%A0%B1112%E5%B9%B4%E5%BA%A6%E8%B2%A1%E5%8B%99%E5%A0%B1%E5%91%8A-071657039.html,2358
【公告】廷鑫股票取消分盤集合競價交易方式，惟仍繼續列為變更交易方法,2024/3/25,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%BB%B7%E9%91%AB%E8%82%A1%E7%A5%A8%E5%8F%96%E6%B6%88%E5%88%86%E7%9B%A4%E9%9B%86%E5%90%88%E7%AB%B6%E5%83%B9%E4%BA%A4%E6%98%93%E6%96%B9%E5%BC%8F-%E6%83%9F%E4%BB%8D%E7%B9%BC%E7%BA%8C%E5%88%97%E7%82%BA%E8%AE%8A%E6%9B%B4%E4%BA%A4%E6%98%93%E6%96%B9%E6%B3%95-122755027.html,2358
【公告】廷鑫係因有價證券於集中交易市場達公布注意交易資訊標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解(更正3/20，08：09重訊內容),2024/3/20,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%BB%B7%E9%91%AB%E4%BF%82%E5%9B%A0%E6%9C%89%E5%83%B9%E8%AD%89%E5%88%B8%E6%96%BC%E9%9B%86%E4%B8%AD%E4%BA%A4%E6%98%93%E5%B8%82%E5%A0%B4%E9%81%94%E5%85%AC%E5%B8%83%E6%B3%A8%E6%84%8F%E4%BA%A4%E6%98%93%E8%B3%87%E8%A8%8A%E6%A8%99%E6%BA%96-%E6%95%85%E5%85%AC%E5%B8%83%E7%9B%B8%E9%97%9C%E8%B2%A1%E5%8B%99%E6%A5%AD%E5%8B%99%E7%AD%89%E9%87%8D%E5%A4%A7%E8%A8%8A%E6%81%AF-%E4%BB%A5%E5%88%A9%E6%8A%95%E8%B3%87%E4%BA%BA%E5%8D%80%E5%88%A5%E7%9E%AD%E8%A7%A3-%E6%9B%B4%E6%AD%A33-034618951.html,2358
【公告】廷鑫係因有價證券於集中交易市場達公布注意交易資訊標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解,2024/3/20,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%BB%B7%E9%91%AB%E4%BF%82%E5%9B%A0%E6%9C%89%E5%83%B9%E8%AD%89%E5%88%B8%E6%96%BC%E9%9B%86%E4%B8%AD%E4%BA%A4%E6%98%93%E5%B8%82%E5%A0%B4%E9%81%94%E5%85%AC%E5%B8%83%E6%B3%A8%E6%84%8F%E4%BA%A4%E6%98%93%E8%B3%87%E8%A8%8A%E6%A8%99%E6%BA%96-%E6%95%85%E5%85%AC%E5%B8%83%E7%9B%B8%E9%97%9C%E8%B2%A1%E5%8B%99%E6%A5%AD%E5%8B%99%E7%AD%89%E9%87%8D%E5%A4%A7%E8%A8%8A%E6%81%AF-%E4%BB%A5%E5%88%A9%E6%8A%95%E8%B3%87%E4%BA%BA%E5%8D%80%E5%88%A5%E7%9E%AD%E8%A7%A3-002711445.html,2358
廷鑫違反重訊及資訊申報規定 處10萬元違約金,2024/3/18,https://tw.stock.yahoo.com/news/%E5%BB%B7%E9%91%AB%E9%81%95%E5%8F%8D%E9%87%8D%E8%A8%8A%E5%8F%8A%E8%B3%87%E8%A8%8A%E7%94%B3%E5%A0%B1%E8%A6%8F%E5%AE%9A-%E8%99%9510%E8%90%AC%E5%85%83%E9%81%95%E7%B4%84%E9%87%91-102406736.html,2358
【公告】廷鑫辦理私募現金增資發行普通股案,2024/3/18,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%BB%B7%E9%91%AB%E8%BE%A6%E7%90%86%E7%A7%81%E5%8B%9F%E7%8F%BE%E9%87%91%E5%A2%9E%E8%B3%87%E7%99%BC%E8%A1%8C%E6%99%AE%E9%80%9A%E8%82%A1%E6%A1%88-072436940.html,2358
【公告】廷鑫3/15董事會議案：112年度營業報告書及財務報表案之保留意見,2024/3/18,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%BB%B7%E9%91%AB3-15%E8%91%A3%E4%BA%8B%E6%9C%83%E8%AD%B0%E6%A1%88-112%E5%B9%B4%E5%BA%A6%E7%87%9F%E6%A5%AD%E5%A0%B1%E5%91%8A%E6%9B%B8%E5%8F%8A%E8%B2%A1%E5%8B%99%E5%A0%B1%E8%A1%A8%E6%A1%88%E4%B9%8B%E4%BF%9D%E7%95%99%E6%84%8F%E8%A6%8B-042135750.html,2358
【公告】廷鑫財會主管異動(補充3/6重訊內容),2024/3/18,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%BB%B7%E9%91%AB%E8%B2%A1%E6%9C%83%E4%B8%BB%E7%AE%A1%E7%95%B0%E5%8B%95-%E8%A3%9C%E5%85%853-6%E9%87%8D%E8%A8%8A%E5%85%A7%E5%AE%B9-040120148.html,2358
