,股票代號,投入金額,結束金額,報酬($),總報酬(%),MDD,Sharpe Ratio
0,2330.TW,738158.4777832031,1000026.4793326796,261868.00154947652,0.30362321687337274,10.583043444341184,0.8733545791169434
1,2317.TW,141092.03715354018,163705.9975163961,22613.960362855927,0.14865969774513516,13.714076290514434,0.7710528213431365
2,2454.TW,880497.8922675636,1162619.368465704,282121.4761981403,0.2779432805981543,15.043994523589921,0.6665990255201278
3,2603.TW,67977.25897320246,97219.22032836018,29241.96135515772,0.35779520954381894,8.281117176718016,0.6679130563376228
4,6505.TW,198235.44192958524,167993.71953081712,-30241.72239876812,-0.16552882996943746,33.69410530526214,-2.6370834996778765
