,Unnamed: 0,證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
391,391,2305,全友            ,199000,62000,137000,0,0,0,0,0,0,0,0,0,0,0,0,0,137000
392,392,9911,櫻花            ,179000,76000,103000,0,0,0,0,0,0,33000,35000,2000,33000,0,0,0,136000
393,393,3092,鴻碩            ,204000,67000,137000,0,0,0,0,0,0,-1000,0,1000,-1000,0,0,0,136000
394,394,4142,國光生          ,193000,32000,161000,0,0,0,0,1000,-1000,-24355,1000,25355,-24355,0,0,0,135645
395,395,1710,東聯            ,273000,136000,137000,0,0,0,0,2000,-2000,553,1000,447,553,0,0,0,135553
396,396,8478,東哥遊艇        ,111000,3000,108000,0,0,0,0,0,0,27346,1000,0,1000,26346,0,26346,135346
397,397,3029,零壹            ,258000,121000,137000,0,0,0,0,0,0,-2011,6000,5011,989,0,3000,-3000,134989
398,398,00728,第一金工業30    ,57000,68000,-11000,0,0,0,0,0,0,144689,40000,0,40000,316045,211356,104689,133689
399,399,3167,大量            ,154000,31000,123000,0,0,0,0,0,0,10366,12000,1634,10366,0,0,0,133366
400,400,6438,迅得            ,246000,463000,-217000,0,0,0,259000,0,259000,90056,75000,0,75000,16000,944,15056,132056
401,401,4916,事欣科          ,185000,53000,132000,0,0,0,0,0,0,0,0,0,0,0,0,0,132000
402,402,1709,和益            ,141000,11000,130000,0,0,0,0,0,0,0,0,0,0,0,0,0,130000
403,403,3576,聯合再生        ,525000,364000,161000,0,0,0,0,0,0,-31107,2000,33107,-31107,0,0,0,129893
404,404,9940,信義            ,166000,17000,149000,0,0,0,0,0,0,-19999,1,20000,-19999,0,0,0,129001
405,405,1568,倉佑            ,220000,76000,144000,0,0,0,0,0,0,-15000,1000,16000,-15000,0,0,0,129000
406,406,6670,復盛應用        ,279000,128003,150997,0,0,0,3000,0,3000,-25690,9000,34690,-25690,0,0,0,128307
407,407,2912,統一超          ,431294,308404,122890,0,0,0,0,7613,-7613,13000,14000,0,14000,0,1000,-1000,128277
408,408,3708,上緯投控        ,1005000,1085000,-80000,0,0,0,98000,2680,95320,111999,55000,11001,43999,133000,65000,68000,127319
409,409,3545,敦泰            ,1163000,1068000,95000,0,0,0,0,0,0,30042,0,0,0,30880,838,30042,125042
410,410,5243,乙盛-KY         ,269000,164000,105000,0,0,0,0,0,0,19762,103,4341,-4238,24000,0,24000,124762
411,411,00639,富邦深100       ,225000,132000,93000,0,0,0,0,0,0,30887,0,160000,-160000,491146,300259,190887,123887
412,412,5285,界霖            ,124000,3000,121000,0,0,0,0,0,0,0,0,0,0,0,0,0,121000
413,413,00646,元大S&P500      ,1000,199000,-198000,0,0,0,0,0,0,318947,23000,0,23000,409000,113053,295947,120947
